,Quantity of Beer,Adjusted Price of Beer,Price of Beer,Price of Liquor,Price of Related Goods,Income
1,81.70,2.87,1.78,6.95,1.11,25.09
2,56.90,3.03,2.27,7.32,0.67,26.56
3,64.10,3.22,2.21,6.96,0.83,25.51
4,65.40,2.92,2.15,7.18,0.75,27.16
5,64.10,2.97,2.26,7.46,1.06,27.16
6,58.10,3.17,2.49,7.47,1.10,27.58
7,61.70,2.98,2.52,7.88,1.09,28.24
8,65.30,2.84,2.46,7.88,1.18,29.41
9,57.80,2.90,2.54,7.97,0.88,28.71
10,63.50,3.03,2.72,7.96,1.30,30.00
11,65.90,2.80,2.60,8.09,1.17,30.53
12,48.30,2.99,2.87,8.24,0.94,30.37
13,55.60,3.16,3.00,7.96,0.91,31.11
14,47.90,3.27,3.23,8.34,1.10,31.13
15,57.00,3.18,3.11,8.10,1.50,32.51
16,51.60,3.02,3.11,8.43,1.17,32.41
17,54.20,2.80,3.09,8.72,1.18,33.42
18,51.70,2.98,3.34,8.87,1.37,33.90
19,55.90,2.94,3.31,8.82,1.52,34.53
20,52.10,2.95,3.42,8.59,1.15,36.02
21,52.50,3.19,3.61,8.83,1.39,34.81
22,44.30,3.05,3.55,8.86,1.60,35.94
23,57.70,3.08,3.72,8.97,1.73,37.32
24,51.60,3.02,3.72,9.13,1.35,36.68
25,53.80,2.94,3.70,8.98,1.37,38.05
26,50.00,3.07,3.81,9.25,1.41,36.71
27,46.30,2.97,3.86,9.33,1.62,38.41
28,46.80,3.02,3.99,9.47,1.69,38.82
29,51.70,2.96,3.89,9.49,1.71,38.36
30,49.90,2.84,4.07,9.52,1.69,41.59
31,58.50,2.93,3.37,8.85,1.72,35.54
32,57.80,2.96,3.21,8.38,1.36,34.68
33,42.70,3.20,3.76,8.99,1.53,35.99
34,62.30,2.84,2.81,8.22,0.96,31.55
35,57.00,2.95,3.35,8.73,1.28,34.82
36,40.40,3.02,4.21,9.79,1.89,40.30
37,54.10,3.00,3.10,8.35,1.27,33.05
38,52.50,2.99,3.33,8.58,1.06,34.43
39,61.00,2.92,2.53,7.95,1.15,28.91
40,50.00,3.16,3.18,8.23,1.17,32.44
41,63.00,3.00,1.56,6.69,0.74,21.52
42,44.70,3.17,3.48,8.71,1.30,33.95
43,55.60,3.02,3.77,9.14,1.56,37.57
44,58.90,2.93,3.16,8.47,1.07,33.65
45,58.90,2.97,2.79,8.04,1.17,30.99
46,47.80,3.06,3.92,9.33,1.68,38.17
47,51.50,3.08,3.26,8.78,1.17,31.92
48,49.70,2.96,3.34,8.72,1.39,34.86
49,59.60,3.00,3.17,8.41,1.21,33.41
50,65.00,2.99,3.11,8.55,1.71,33.08
51,58.20,2.94,2.55,7.88,0.84,28.69
52,56.60,3.12,3.93,9.04,1.75,38.99
53,62.00,2.92,2.86,8.39,1.46,31.29
54,68.50,3.13,1.97,6.89,0.91,24.17
55,71.30,3.02,1.09,5.94,0.48,18.70
56,61.90,2.95,2.39,7.56,0.89,28.18
57,66.30,3.01,2.49,7.57,0.84,28.52
58,43.50,3.21,3.16,8.39,1.10,30.82
59,39.30,3.12,4.31,10.01,1.86,39.38
60,55.60,2.94,3.24,8.58,1.33,34.35
61,62.00,2.98,2.60,7.99,1.35,29.18
62,56.60,3.08,3.09,8.25,1.13,32.19
63,63.00,2.77,3.04,8.63,1.61,34.33
64,61.60,2.80,2.72,8.32,1.21,30.91
65,75.00,2.88,1.89,6.97,0.71,25.52
66,67.30,2.84,1.89,7.19,0.74,24.98
67,62.60,2.84,2.99,8.45,1.39,33.33
68,61.90,3.03,2.51,7.55,0.84,28.60
69,62.40,3.07,2.41,7.43,1.01,27.82
70,58.20,3.00,3.30,8.26,1.41,35.92
71,58.60,3.14,2.65,7.45,0.73,29.12
72,44.90,3.24,3.78,9.01,1.47,35.51
73,62.80,2.92,3.12,8.56,1.35,33.42
74,54.70,3.15,2.27,7.14,0.72,26.06
75,49.70,3.18,2.89,8.06,1.05,29.39
76,65.90,2.97,2.03,7.31,0.93,24.96
77,58.40,3.16,2.01,6.96,0.47,23.25
78,57.40,3.00,2.04,7.34,0.79,24.36
79,59.10,3.14,2.59,7.65,0.96,27.97
80,62.10,2.92,2.29,7.71,0.88,26.71
81,63.20,2.93,2.17,7.33,0.59,26.37
82,46.40,3.14,3.39,8.65,1.22,33.32
83,58.70,2.92,3.73,9.22,1.88,38.40
84,56.70,3.16,2.79,7.86,1.01,29.25
85,61.30,3.10,2.63,7.78,1.13,28.72
86,68.90,2.77,1.83,7.29,0.93,25.01
87,56.60,3.04,3.99,9.28,1.89,39.85
88,43.30,2.94,4.04,9.73,1.40,38.68
89,44.40,2.98,3.94,9.47,1.71,38.75
90,63.40,2.86,2.23,7.57,0.72,27.08
91,59.30,2.91,3.12,8.50,1.33,33.67
92,64.20,2.71,3.07,8.51,1.09,34.98
93,56.60,3.02,3.25,8.69,1.42,33.25
94,50.20,2.87,2.93,8.39,0.98,31.88
95,48.80,3.07,3.94,9.20,1.49,38.50
96,67.00,3.02,1.83,6.77,0.65,23.92
97,61.10,2.91,3.04,8.57,1.45,32.72
98,50.90,2.97,2.77,8.21,1.01,29.70
99,57.00,2.87,3.95,9.59,1.78,39.72
100,35.70,3.12,4.51,9.86,1.47,41.67
,,,,,,
,,,,,,
